"","FIPS","Date","MMWR_week","Recip_County","Recip_State","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Census2019","date_updated","county","state","total_population","health_service_area_number","health_service_area","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid.19_community_level"
"19",1037,2022-03-31,13,"Coosa County","AL",92.4,5184,48.6,4312,40.4,1679,38.9,10663,2022-03-24,"Coosa County, AL","Alabama",10663,241,"Talladega, AL - Clay, AL","0.1%",0,65.65,"Low"
"20",1039,2022-03-31,13,"Covington County","AL",92.4,17127,46.2,14086,38,4389,31.2,37049,2022-03-24,"Covington County, AL","Alabama",37049,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,26.99,"Low"
"21",1041,2022-03-31,13,"Crenshaw County","AL",92.4,5728,41.6,4720,34.3,1573,33.3,13772,2022-03-24,"Crenshaw County, AL","Alabama",13772,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,14.52,"Low"
"22",1043,2022-03-31,13,"Cullman County","AL",92.4,37689,45,31918,38.1,11648,36.5,83768,2022-03-24,"Cullman County, AL","Alabama",83768,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,11.94,"Low"
"23",1045,2022-03-31,13,"Dale County","AL",92.4,27977,56.9,23426,47.6,6193,26.4,49172,2022-03-24,"Dale County, AL","Alabama",49172,162,"Houston (Dothan), AL - Dale, AL","2.2%",2.9,22.37,"Low"
"24",1047,2022-03-31,13,"Dallas County","AL",92.4,21887,58.8,16791,45.1,6363,37.9,37196,2022-03-24,"Dallas County, AL","Alabama",37196,175,"Dallas, AL - Marengo, AL","1.5%",1.3,18.82,"Low"
"25",1049,2022-03-31,13,"DeKalb County","AL",92.4,29697,41.5,24114,33.7,8458,35.1,71513,2022-03-24,"DeKalb County, AL","Alabama",71513,224,"Etowah (Gadsden), AL - Marshall, AL","1.1%",1.3,16.78,"Low"
"26",1051,2022-03-31,13,"Elmore County","AL",92.4,46496,57.3,37451,46.1,11962,31.9,81209,2022-03-24,"Elmore County, AL","Alabama",81209,179,"Lee (Auburn), AL - Elmore, AL","0.4%",0,23.4,"Low"
"27",1053,2022-03-31,13,"Escambia County","AL",92.4,16992,46.4,13314,36.3,4301,32.3,36633,2022-03-24,"Escambia County, AL","Alabama",36633,163,"Escambia (Pensacola), FL - Okaloosa, FL","1.5%",4.8,2.73,"Low"
"28",1055,2022-03-31,13,"Etowah County","AL",92.4,50416,49.3,41809,40.9,15202,36.4,102268,2022-03-24,"Etowah County, AL","Alabama",102268,224,"Etowah (Gadsden), AL - Marshall, AL","1.1%",1.3,5.87,"Low"
"29",1057,2022-03-31,13,"Fayette County","AL",92.4,6634,40.7,5687,34.9,1924,33.8,16302,2022-03-24,"Fayette County, AL","Alabama",16302,247,"Marion, AL - Fayette, AL","1.4%",2.2,18.4,"Low"
"30",1059,2022-03-31,13,"Franklin County","AL",92.4,16663,53.1,13626,43.4,4362,32,31362,2022-03-24,"Franklin County, AL","Alabama",31362,219,"Lauderdale (Florence), AL - Colbert, AL","1.3%",4.9,25.51,"Low"
"31",1061,2022-03-31,13,"Geneva County","AL",92.4,12726,48.4,10561,40.2,3437,32.5,26271,2022-03-24,"Geneva County, AL","Alabama",26271,162,"Houston (Dothan), AL - Dale, AL","2.2%",2.9,38.06,"Low"
"32",1063,2022-03-31,13,"Greene County","AL",92.4,5157,63.6,4106,50.6,1760,42.9,8111,2022-03-24,"Greene County, AL","Alabama",8111,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","1.0%",1.6,24.66,"Low"
"33",1065,2022-03-31,13,"Hale County","AL",92.4,10637,72.6,8963,61.2,3596,40.1,14651,2022-03-24,"Hale County, AL","Alabama",14651,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","1.0%",1.6,122.86,"Low"
"34",1067,2022-03-31,13,"Henry County","AL",92.4,9375,54.5,7787,45.3,2677,34.4,17205,2022-03-24,"Henry County, AL","Alabama",17205,162,"Houston (Dothan), AL - Dale, AL","2.2%",2.9,17.44,"Low"
"35",1069,2022-03-31,13,"Houston County","AL",92.4,54494,51.5,45550,43,15359,33.7,105882,2022-03-24,"Houston County, AL","Alabama",105882,162,"Houston (Dothan), AL - Dale, AL","2.2%",2.9,26.44,"Low"
"36",1071,2022-03-31,13,"Jackson County","AL",92.4,30861,59.8,25337,49.1,9459,37.3,51626,2022-03-24,"Jackson County, AL","Alabama",51626,210,"Madison (Huntsville), AL - Limestone, AL","2.2%",13.1,19.37,"Medium"
"37",1073,2022-03-31,13,"Jefferson County","AL",92.4,470780,71.5,380337,57.8,145081,38.1,658573,2022-03-24,"Jefferson County, AL","Alabama",658573,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,53.15,"Low"
"38",1075,2022-03-31,13,"Lamar County","AL",92.4,7014,50.8,6047,43.8,2433,40.2,13805,2022-03-24,"Lamar County, AL","Alabama",13805,461,"Lowndes, MS - Clay, MS","0.5%",0,43.46,"Low"
"39",1077,2022-03-31,13,"Lauderdale County","AL",92.4,53200,57.4,42982,46.4,15860,36.9,92729,2022-03-24,"Lauderdale County, AL","Alabama",92729,219,"Lauderdale (Florence), AL - Colbert, AL","1.3%",4.9,39.9,"Low"
"40",1079,2022-03-31,13,"Lawrence County","AL",92.4,18073,54.9,15470,47,5559,35.9,32924,2022-03-24,"Lawrence County, AL","Alabama",32924,185,"Morgan (Decatur), AL - Lawrence, AL","2.4%",2,36.45,"Low"
"41",1081,2022-03-31,13,"Lee County","AL",92.4,78735,47.9,65763,40,22258,33.8,164542,2022-03-24,"Lee County, AL","Alabama",164542,179,"Lee (Auburn), AL - Elmore, AL","0.4%",0,12.15,"Low"
"42",1083,2022-03-31,13,"Limestone County","AL",92.4,45730,46.2,38386,38.8,12573,32.8,98915,2022-03-24,"Limestone County, AL","Alabama",98915,210,"Madison (Huntsville), AL - Limestone, AL","2.2%",13.1,20.22,"Medium"
"43",1085,2022-03-31,13,"Lowndes County","AL",92.4,6316,64.9,4931,50.7,1761,35.7,9726,2022-03-24,"Lowndes County, AL","Alabama",9726,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,30.85,"Low"
"44",1087,2022-03-31,13,"Macon County","AL",92.4,10849,60,8613,47.7,3189,37,18068,2022-03-24,"Macon County, AL","Alabama",18068,179,"Lee (Auburn), AL - Elmore, AL","0.4%",0,77.49,"Low"
"45",1089,2022-03-31,13,"Madison County","AL",92.4,282528,75.8,228967,61.4,85731,37.4,372909,2022-03-24,"Madison County, AL","Alabama",372909,210,"Madison (Huntsville), AL - Limestone, AL","2.2%",13.1,33.52,"Medium"
"46",1091,2022-03-31,13,"Marengo County","AL",92.4,12601,66.8,10228,54.2,3641,35.6,18863,2022-03-24,"Marengo County, AL","Alabama",18863,175,"Dallas, AL - Marengo, AL","1.5%",1.3,26.51,"Low"
"47",1093,2022-03-31,13,"Marion County","AL",92.4,12636,42.5,10792,36.3,3859,35.8,29709,2022-03-24,"Marion County, AL","Alabama",29709,247,"Marion, AL - Fayette, AL","1.4%",2.2,16.83,"Low"
"48",1095,2022-03-31,13,"Marshall County","AL",92.4,53508,55.3,43986,45.5,15016,34.1,96774,2022-03-24,"Marshall County, AL","Alabama",96774,224,"Etowah (Gadsden), AL - Marshall, AL","1.1%",1.3,25.83,"Low"
"49",1097,2022-03-31,13,"Mobile County","AL",92.4,248300,60.1,204186,49.4,70517,34.5,413210,2022-03-24,"Mobile County, AL","Alabama",413210,161,"Mobile (Mobile), AL - Baldwin, AL","0.7%",1.7,13.55,"Low"
"50",1099,2022-03-31,13,"Monroe County","AL",92.4,11306,54.5,9007,43.4,3203,35.6,20733,2022-03-24,"Monroe County, AL","Alabama",20733,161,"Mobile (Mobile), AL - Baldwin, AL","0.7%",1.7,19.29,"Low"
"51",1101,2022-03-31,13,"Montgomery County","AL",92.4,148799,65.7,117326,51.8,40270,34.3,226486,2022-03-24,"Montgomery County, AL","Alabama",226486,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,29.14,"Low"
"52",1103,2022-03-31,13,"Morgan County","AL",92.4,61372,51.3,51988,43.4,19972,38.4,119679,2022-03-24,"Morgan County, AL","Alabama",119679,185,"Morgan (Decatur), AL - Lawrence, AL","2.4%",2,5.85,"Low"
"53",1105,2022-03-31,13,"Perry County","AL",92.4,5195,58.2,4325,48.5,1709,39.5,8923,2022-03-24,"Perry County, AL","Alabama",8923,175,"Dallas, AL - Marengo, AL","1.5%",1.3,11.21,"Low"
"54",1107,2022-03-31,13,"Pickens County","AL",92.4,12048,60.5,9797,49.2,3490,35.6,19930,2022-03-24,"Pickens County, AL","Alabama",19930,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","1.0%",1.6,15.05,"Low"
"55",1109,2022-03-31,13,"Pike County","AL",92.4,16850,50.9,13893,42,4587,33,33114,2022-03-24,"Pike County, AL","Alabama",33114,171,"Montgomery (Montgomery), AL - Autauga, AL","1.6%",3.9,12.08,"Low"
"56",1111,2022-03-31,13,"Randolph County","AL",92.4,9134,40.2,7434,32.7,2746,36.9,22722,2022-03-24,"Randolph County, AL","Alabama",22722,172,"Coweta, GA - Troup (La Grange), GA","2.2%",4.2,22.01,"Low"
"57",1113,2022-03-31,13,"Russell County","AL",92.4,31854,55,23597,40.7,7071,30,57961,2022-03-24,"Russell County, AL","Alabama",57961,166,"Muscogee (Columbus), GA - Russell, AL","5.9%",4.9,12.08,"Low"
"58",1115,2022-03-31,13,"St. Clair County","AL",92.4,41645,46.5,34868,39,12451,35.7,89512,2022-03-24,"St. Clair County, AL","Alabama",89512,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,27.93,"Low"
"59",1117,2022-03-31,13,"Shelby County","AL",92.4,97419,44.7,78492,36.1,26736,34.1,217702,2022-03-24,"Shelby County, AL","Alabama",217702,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,128.62,"Low"
"60",1119,2022-03-31,13,"Sumter County","AL",92.4,8451,68,6347,51.1,2307,36.3,12427,2022-03-24,"Sumter County, AL","Alabama",12427,412,"Lauderdale, MS - Neshoba, MS","1.9%",1.1,24.14,"Low"
"61",1121,2022-03-31,13,"Talladega County","AL",92.4,35434,44.3,29127,36.4,10574,36.3,79978,2022-03-24,"Talladega County, AL","Alabama",79978,241,"Talladega, AL - Clay, AL","0.1%",0,21.26,"Low"
"62",1123,2022-03-31,13,"Tallapoosa County","AL",92.4,18381,45.5,15467,38.3,6340,41,40367,2022-03-24,"Tallapoosa County, AL","Alabama",40367,179,"Lee (Auburn), AL - Elmore, AL","0.4%",0,29.73,"Low"
"63",1125,2022-03-31,13,"Tuscaloosa County","AL",92.4,110285,52.7,91089,43.5,32595,35.8,209355,2022-03-24,"Tuscaloosa County, AL","Alabama",209355,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","1.0%",1.6,68.31,"Low"
"64",1127,2022-03-31,13,"Walker County","AL",92.4,35763,56.3,29892,47.1,10431,34.9,63521,2022-03-24,"Walker County, AL","Alabama",63521,150,"Jefferson (Birmingham), AL - Shelby, AL","1.4%",3.4,17.32,"Low"
"65",1129,2022-03-31,13,"Washington County","AL",92.4,9101,55.7,7484,45.8,2513,33.6,16326,2022-03-24,"Washington County, AL","Alabama",16326,161,"Mobile (Mobile), AL - Baldwin, AL","0.7%",1.7,18.38,"Low"
"66",1131,2022-03-31,13,"Wilcox County","AL",92.4,6955,67,5572,53.7,2125,38.1,10373,2022-03-24,"Wilcox County, AL","Alabama",10373,175,"Dallas, AL - Marengo, AL","1.5%",1.3,9.64,"Low"
"67",1133,2022-03-31,13,"Winston County","AL",92.4,6225,26.3,5183,21.9,1715,33.1,23629,2022-03-24,"Winston County, AL","Alabama",23629,219,"Lauderdale (Florence), AL - Colbert, AL","1.3%",4.9,0,"Low"
"68",2013,2022-03-31,13,"Aleutians East Borough","AK",97.6,2838,85,2510,75.2,890,35.5,3337,2022-03-24,"Aleutians East Borough, AK","Alaska",3337,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,89.9,"Low"
"69",2016,2022-03-31,13,"Aleutians West Census Area","AK",97.6,4195,74.5,3524,62.5,1124,31.9,5634,2022-03-24,"Aleutians West CA, AK","Alaska",5634,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,53.25,"Low"
"70",2020,2022-03-31,13,"Anchorage Municipality","AK",97.6,216971,75.3,192925,67,81346,42.2,288000,2022-03-24,"Anchorage Muny, AK","Alaska",288000,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,158.33,"Low"
"71",2050,2022-03-31,13,"Bethel Census Area","AK",97.6,13245,72,12229,66.5,5482,44.8,18386,2022-03-24,"Bethel CA, AK","Alaska",18386,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,494.94,"Medium"
"72",2060,2022-03-31,13,"Bristol Bay Borough","AK",97.6,1093,95,914,95,325,35.6,836,2022-03-24,"Bristol Bay Borough, AK","Alaska",836,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,0,"Low"
"73",2068,2022-03-31,13,"Denali Borough","AK",97.6,1315,62.7,1132,54,544,48.1,2097,2022-03-24,"Denali Borough, AK","Alaska",2097,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","1.3%",2.7,143.06,"Low"
"74",2070,2022-03-31,13,"Dillingham Census Area","AK",97.6,2814,57.2,2568,52.2,1111,43.3,4916,2022-03-24,"Dillingham CA, AK","Alaska",4916,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,1342.55,"Medium"
"75",2090,2022-03-31,13,"Fairbanks North Star Borough","AK",97.6,65700,67.8,57770,59.6,19536,33.8,96849,2022-03-24,"Fairbanks North Star Borough, AK","Alaska",96849,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","1.3%",2.7,86.73,"Low"
"76",2100,2022-03-31,13,"Haines Borough","AK",97.6,1853,73.2,1724,68.1,949,55,2530,2022-03-24,"Haines Borough, AK","Alaska",2530,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","2.4%",4.3,158.1,"Low"
"77",2105,2022-03-31,13,"Hoonah-Angoon Census Area","AK",97.6,1585,73.8,1499,69.8,912,60.8,2148,2022-03-24,"Hoonah-Angoon CA, AK","Alaska",2148,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","2.4%",4.3,279.33,"Medium"
"78",2110,2022-03-31,13,"Juneau City and Borough","AK",97.6,26558,83.1,24482,76.6,13232,54,31974,2022-03-24,"Juneau Cty&Bor, AK","Alaska",31974,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","2.4%",4.3,234.57,"Medium"
"79",2122,2022-03-31,13,"Kenai Peninsula Borough","AK",97.6,31259,53.2,28233,48.1,13316,47.2,58708,2022-03-24,"Kenai Peninsula Borough, AK","Alaska",58708,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,212.92,"Medium"
"80",2130,2022-03-31,13,"Ketchikan Gateway Borough","AK",97.6,9954,71.6,9099,65.5,4086,44.9,13901,2022-03-24,"Ketchikan Gateway Borough, AK","Alaska",13901,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","5.1%",3.9,266.17,"Medium"
"81",2150,2022-03-31,13,"Kodiak Island Borough","AK",97.6,9341,71.9,8437,64.9,3954,46.9,12998,2022-03-24,"Kodiak Island Borough, AK","Alaska",12998,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,146.18,"Low"
"82",2158,2022-03-31,13,"Kusilvak Census Area","AK",97.6,6029,72.5,5512,66.3,2268,41.1,8314,2022-03-24,"Kusilvak Census Area, AK","Alaska",8314,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,264.61,"Medium"
"83",2164,2022-03-31,13,"Lake and Peninsula Borough","AK",97.6,1006,63.2,916,57.5,529,57.8,1592,2022-03-24,"Lake and Peninsula Borough, AK","Alaska",1592,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,439.7,"Medium"
"84",2170,2022-03-31,13,"Matanuska-Susitna Borough","AK",97.6,49466,45.7,43751,40.4,16523,37.8,108317,2022-03-24,"Matanuska-Susitna Borough, AK","Alaska",108317,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,108.94,"Low"
"85",2180,2022-03-31,13,"Nome Census Area","AK",97.6,7375,73.7,7048,70.5,3431,48.7,10004,2022-03-24,"Nome CA, AK","Alaska",10004,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,1449.42,"Medium"
"86",2185,2022-03-31,13,"North Slope Borough","AK",97.6,4089,41.6,3810,38.8,1653,43.4,9832,2022-03-24,"North Slope Borough, AK","Alaska",9832,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,264.44,"Medium"
"87",2188,2022-03-31,13,"Northwest Arctic Borough","AK",97.6,4917,64.5,4605,60.4,2326,50.5,7621,2022-03-24,"Northwest Arctic Borough, AK","Alaska",7621,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,800.42,"Medium"
"88",2195,2022-03-31,13,"Petersburg Census Area","AK",97.6,2656,81.3,2474,75.8,1255,50.7,3266,2022-03-24,"Petersburg CA, AK","Alaska",3266,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","5.1%",3.9,61.24,"Low"
"89",2198,2022-03-31,13,"Prince of Wales-Hyder Census Area","AK",97.6,3619,58.3,3309,53.3,1678,50.7,6203,2022-03-24,"Prince of Wales-Hyder CA, AK","Alaska",6203,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","5.1%",3.9,290.18,"Medium"
"90",2220,2022-03-31,13,"Sitka City and Borough","AK",97.6,7102,83.6,6667,78.5,3717,55.8,8493,2022-03-24,"Sitka Cty&Bor, AK","Alaska",8493,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","2.4%",4.3,353.23,"Medium"
"91",2230,2022-03-31,13,"Skagway Municipality","AK",97.6,926,78.3,830,70.2,460,55.4,1183,2022-03-24,"Skagway Muny, AK","Alaska",1183,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","2.4%",4.3,338.12,"Medium"
"92",2240,2022-03-31,13,"Southeast Fairbanks Census Area","AK",97.6,3139,45.5,2791,40.5,1036,37.1,6893,2022-03-24,"Southeast Fairbanks CA, AK","Alaska",6893,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","1.3%",2.7,14.51,"Low"
"93",2261,2022-03-31,13,"Valdez-Cordova Census Area","AK",97.6,6248,67.9,5775,62.8,2581,44.7,9202,2022-03-24,"Valdez-Cordova Census Area, AK","Alaska",9202,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","2.4%",4.6,217.34,"Medium"
"94",2275,2022-03-31,13,"Wrangell City and Borough","AK",97.6,1529,61.1,1444,57.7,815,56.4,2502,2022-03-24,"Wrangell Cty&Bor, AK","Alaska",2502,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","5.1%",3.9,559.55,"Medium"
"95",2282,2022-03-31,13,"Yakutat City and Borough","AK",97.6,474,81.9,455,78.6,243,53.4,579,2022-03-24,"Yakutat Cty&Bor, AK","Alaska",579,818,"Juneau City and Borough, AK - Sitka City and Borough, AK","2.4%",4.3,0,"Low"
"96",2290,2022-03-31,13,"Yukon-Koyukuk Census Area","AK",97.6,4336,82.9,4029,77,2129,52.8,5230,2022-03-24,"Yukon-Koyukuk CA, AK","Alaska",5230,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","1.3%",2.7,191.2,"Low"
"97",4001,2022-03-31,13,"Apache County","AZ",97.7,88064,95,73526,95,34365,46.7,71887,2022-03-24,"Apache County, AZ","Arizona",71887,765,"McKinley, NM - Apache, AZ","2.7%",9.8,50.08,"Low"
"98",4003,2022-03-31,13,"Cochise County","AZ",97.7,99839,79.3,80840,64.2,30318,37.5,125922,2022-03-24,"Cochise County, AZ","Arizona",125922,700,"Pima (Tucson), AZ - Cochise, AZ","2.3%",4.8,52.41,"Low"
"99",4005,2022-03-31,13,"Coconino County","AZ",97.7,129569,90.3,109669,76.4,48930,44.6,143476,2022-03-24,"Coconino County, AZ","Arizona",143476,699,"Maricopa (Phoenix), AZ - Pinal, AZ","2.4%",6.3,27.18,"Low"
"100",4007,2022-03-31,13,"Gila County","AZ",97.7,37042,68.6,31851,59,14530,45.6,54018,2022-03-24,"Gila County, AZ","Arizona",54018,699,"Maricopa (Phoenix), AZ - Pinal, AZ","2.4%",6.3,68.5,"Low"
"101",4009,2022-03-31,13,"Graham County","AZ",97.7,28211,72.6,24625,63.4,10364,42.1,38837,2022-03-24,"Graham County, AZ","Arizona",38837,700,"Pima (Tucson), AZ - Cochise, AZ","2.3%",4.8,2.57,"Low"
"102",4011,2022-03-31,13,"Greenlee County","AZ",97.7,4672,49.2,4162,43.8,1874,45,9498,2022-03-24,"Greenlee County, AZ","Arizona",9498,700,"Pima (Tucson), AZ - Cochise, AZ","2.3%",4.8,0,"Low"
"103",4012,2022-03-31,13,"La Paz County","AZ",97.7,12627,59.8,10162,48.1,2957,29.1,21108,2022-03-24,"La Paz County, AZ","Arizona",21108,787,"Yuma, AZ - La Paz, AZ","4.1%",8.1,9.48,"Low"
"104",4013,2022-03-31,13,"Maricopa County","AZ",97.7,2987769,66.6,2551937,56.9,1012594,39.7,4485414,2022-03-24,"Maricopa County, AZ","Arizona",4485414,699,"Maricopa (Phoenix), AZ - Pinal, AZ","2.4%",6.3,74.89,"Low"
"105",4015,2022-03-31,13,"Mohave County","AZ",97.7,107002,50.4,87505,41.2,34625,39.6,212181,2022-03-24,"Mohave County, AZ","Arizona",212181,803,"Mohave, AZ","3.4%",9,33.46,"Low"
"106",4017,2022-03-31,13,"Navajo County","AZ",97.7,101551,91.6,85141,76.8,37687,44.3,110924,2022-03-24,"Navajo County, AZ","Arizona",110924,740,"San Juan, NM - Navajo, AZ","2.2%",3.1,56.8,"Low"
"107",4019,2022-03-31,13,"Pima County","AZ",97.7,851924,81.3,715667,68.3,321098,44.9,1047279,2022-03-24,"Pima County, AZ","Arizona",1047279,700,"Pima (Tucson), AZ - Cochise, AZ","2.3%",4.8,46.88,"Low"
"108",4021,2022-03-31,13,"Pinal County","AZ",97.7,286979,62,247367,53.5,92483,37.4,462789,2022-03-24,"Pinal County, AZ","Arizona",462789,699,"Maricopa (Phoenix), AZ - Pinal, AZ","2.4%",6.3,44.73,"Low"
